Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"NGY00 (Cash)",3.975,-0.264,3.975,3.975,3.975,4.239,N/A,N/A,2025-03-20
"NGJ25 (Apr '25)",3.911,-0.064,3.961,3.972,3.864,3.975,16550,51791,"06:16 CT"
"NGK25 (May '25)",3.967,-0.071,4.035,4.041,3.931,4.038,12510,285096,"06:16 CT"
"NGM25 (Jun '25)",4.136,-0.062,4.2,4.2,4.1,4.198,3797,88109,"06:16 CT"
"NGN25 (Jul '25)",4.38,-0.056,4.437,4.437,4.348,4.436,2694,103179,"06:13 CT"
"NGQ25 (Aug '25)",4.461,-0.051,4.512,4.512,4.427,4.512,2000,56562,"06:12 CT"
"NGU25 (Sep '25)",4.433,-0.043,4.476,4.476,4.397,4.476,1655,119269,"06:13 CT"
"NGV25 (Oct '25)",4.472,-0.037,4.511,4.511,4.43,4.509,1655,126858,"06:05 CT"
"NGX25 (Nov '25)",4.725,-0.042,4.767,4.767,4.692,4.767,428,62751,"06:12 CT"
"NGZ25 (Dec '25)",5.172,-0.035,5.2,5.202,5.135,5.207,486,48409,"05:57 CT"
"NGF26 (Jan '26)",5.422,-0.033,5.453,5.453,5.386,5.455,898,127268,"06:13 CT"
"NGG26 (Feb '26)",5.011,-0.031,5.039,5.039,4.982,5.042,355,46856,"05:30 CT"
"NGH26 (Mar '26)",4.403,-0.023,4.418,4.426,4.376,4.426,563,85846,"06:12 CT"
"NGJ26 (Apr '26)",3.956,0.0030000000000001,3.936,3.966,3.925,3.953,817,82654,"05:32 CT"
"NGK26 (May '26)",3.953,0.0059999999999998,3.95,3.958,3.919,3.947,235,20981,"06:12 CT"
"NGM26 (Jun '26)",4.05,0.0039999999999996,4.049,4.052,4.004,4.046,224,10504,"06:12 CT"
"NGN26 (Jul '26)",4.169,0.0039999999999996,4.167,4.169,4.145,4.165,215,17925,"06:12 CT"
